path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E04 - Out of Office.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E04 - Out of Office.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2600.147302,411.6,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E05 - Expecting Trouble.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E05 - Expecting Trouble.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2599.473923,439.7,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E06 - Exit Interview.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E06 - Exit Interview.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2598.684444,679.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E07 - Glory Days.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E07 - Glory Days.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2385.02517,417.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E08 - Death & Taxes.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E08 - Death & Taxes.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2594.272653,468.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E09 - Crucible (1).mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E09 - Crucible (1).mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2598.243265,462.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E10 - Crucible (2).mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E10 - Crucible (2).mp4,ok,none,mpegts,h264,aac,2561.277078,365.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E11 - The Aftermath.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E11 - The Aftermath.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,715.735805,120.5,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E12 - Plus One.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E12 - Plus One.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2599.938322,456.5,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E13 - The Finest (I).mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E13 - The Finest (I).mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2596.223129,598.0,ffprobe passed and file is TV-safe enough,,,
